capital,state,lga,latitude,longitude
Ikorodu,Lagos,Ikorodu,6.615483,3.508673
Opobo,Akwa lbom,Ikot Abasi,4.564844,7.547802
Ikot-Ekpene,Akwa lbom,Ikot Ekpene,5.179381,7.710815
Idogbo,Edo,Ikpoba-Okha,6.266667,5.716667
Isiokpo,Rivers,Ikwerre,5.001389,6.87408
Ikwo,Ebonyi,Ikwo,6.0716,8.1028
Oboro District Court,Abia,Ikwuano,5.419078,7.559206
Ila Orangun,Osun,Ila,8.016667,4.9
Igbokoda,Ondo,Ilaje,6.349648,4.803259
Iye,Ekiti,Ilemeji,7.943192,5.251644
Ile Oluji,Ondo,Ile-Oluji-Okeigbo,7.216667,4.866667
Ilesha,Osun,Ilesha East,7.616667,4.733333
xx,Osun,Ilesha West,7.625709,4.738735
Illela,Sokoto,Illela,13.72943,5.29816
Oke Oyi,Kwara,Ilorin East,8.5812295,4.7158099
Fufu,Kwara,Ilorin South,,
"Moro, River",Kwara,Ilorin West,8.566667,4.5
Imeko,Ogun,Imeko-Afon,7.45,2.85
Ingawa,Katsina,Ingawa,12.639682,8.050276
Odoro-Ikpe,Akwa lbom,Ini,5.355348,7.750807
Ipokia,Ogun,Ipokia,6.533333,2.85
Irele,Ondo,Irele,6.486944,4.870014
Kishi,Oyo,Irepo,9.083333,3.85
Ilala,Kwara,Irepodun,8.333333,4.833333
Ilobu,Osun,Irepodun,7.833333,4.483333
Igede,Ekiti,Irepodun/Ifelodun,7.666765,5.132047
Ikire,Osun,Irewole,7.3675298,4.1853662
Isa,Sokoto,Isa,13.200294,6.407079
Ise-Ekiti,Ekiti,Ise/Orun,7.4632,5.4281
Iseyin,Oyo,Iseyin,7.966667,3.6
Ezillo,Ebonyi,Ishielu,6.4277,7.7926
Umu Elemai,Imo,Isiala Mbano,5.683333,7.233333
Omoba Station,Abia,Isiala-Ngwa North,5.25,7.416667
Isanlu Isin,Kwara,Isin,8.233333,5.083333
Ikem,Enugu,Isi-Uzo,6.779029,7.716852
Apomu,Osun,Isokan,7.333333,4.183333
Ozoro,Delta,Isoko North,5.541913,6.227493
Ole,Delta,Isoko South,5.461601,6.207872
Isu-Njaba,Imo,Isu,5.708173,7.065557
Nbalano,Abia,Isuikwato,5.731618,7.501615
Itas,Bauchi,Itas/Gadau,11.859244,9.96648
Otu,Oyo,Itesiwaju,8.2,3.416667
Itu,Akwa lbom,Itu,5.200403,7.984746
Ishiagu,Ebonyi,Ivo,5.952926,7.560108
Iwere Ile,Oyo,Iwajowa,8,3.083333
Iwo,Osun,Iwo,7.633333,4.183333
xx,Ebonyi,Izzi,,
Kwoi,Kaduna,Jaba,9.45,8
Jada,Adamawa,Jada,8.766667,12.15
Jahun,Jigawa,Jahun,12.074122,9.627913
Jakusko,Yobe,Jakusko,12.3691,10.7731
Jalingo,Taraba,Jalingo,8.883333,11.366667
Jamao«oare,Bauchi,Jama'are,11.666667,9.931389
Jega,Kebbi,Jega,12.2175,4.379167
Jemaa,Kaduna,Jema'a,9.466667,8.383333
